institution_combo_group,academic_institution,position_group_rc,position_type,position_category,position_group_tenure,position_tenure,position_group_tenure_cat,position_percent_rcd,promoted,experience_rcd,experience_work,supervise_staff,supervise_student_workers,management_staff_role,position_hourly,position_fulltime,position_funding,onsite_remote,position_scope,education,education_related
NA,NA,NA,Staff,Senior individual contributor,14,8,10+,90,FALSE,26,31,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,Manager,8,1,5-9,100,TRUE,16,38,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",No Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Faculty,Individual contributor,4,4,2-4,80,TRUE,4,40,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,8,1,5-9,80,TRUE,8,9,TRUE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),Remotely,National,Bachelor's Degree,Extremely related
R1 public,TRUE,TRUE,Staff,Lead/principal individual contributor,1,1,<2,100,FALSE,1,19,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Moderately related
R1 private,TRUE,FALSE,Faculty,Individual contributor,10,10,10+,100,TRUE,10,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Research Group,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,25,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Director,20,3,10+,100,TRUE,35,37,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Bachelor's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,70,FALSE,3,13,FALSE,FALSE,FALSE,FALSE,FALSE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Director,9,4,5-9,100,TRUE,15,22,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,2,2-4,20,TRUE,4,11,FALSE,TRUE,FALSE,TRUE,TRUE,I don't know,Remotely,Research Group,Bachelor's Degree,Moderately related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,10,10,10+,90,FALSE,40,50,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,21,12,10+,100,FALSE,20,21,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 private,TRUE,FALSE,Student position / internship,Student position / internship,4,4,2-4,70,FALSE,6,6,TRUE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Director,8,2,5-9,100,TRUE,8,12,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
Other,FALSE,FALSE,NA,Manager,21,12,10+,100,TRUE,35,40,TRUE,FALSE,TRUE,FALSE,TRUE,NA,A combination of remotely and on-site,Center or Institute,PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Director,20,5,10+,100,TRUE,25,25,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,4,2,2-4,100,TRUE,4,8,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,NA,Staff,Senior individual contributor,3,3,2-4,90,FALSE,8,14,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,College or School,PhD or Doctorate,Extremely related
R2 public,TRUE,FALSE,Staff,Manager,9,9,5-9,60,FALSE,7,17,TRUE,TRUE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),Remotely,Multiple Institutions,PhD or Doctorate,Very related
R2 public,TRUE,FALSE,Staff,Lead/principal individual contributor,4,4,2-4,60,FALSE,21,30,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Other/Unknown,1,4,<2,60,FALSE,8,10,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Research Group,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,18,8,10+,80,FALSE,20,30,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Individual contributor,12,8,10+,100,FALSE,20,29,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Master's Degree,Extremely related
Other Academic private,TRUE,FALSE,Staff,Lead/principal individual contributor,4,7,2-4,70,FALSE,4,19,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 private,TRUE,TRUE,Staff,Individual contributor,1,1,<2,75,FALSE,1,25,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,5,5,5-9,100,TRUE,5,10,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,Center or Institute,PhD or Doctorate,Moderately related
Company,FALSE,NA,NA,Lead/principal individual contributor,6,6,5-9,90,FALSE,24,31,FALSE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,National,PhD or Doctorate,Extremely related
Government,FALSE,FALSE,NA,Individual contributor,2,2,2-4,100,FALSE,2,20,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Multiple Institutions,NA,Moderately related
Medical,FALSE,FALSE,Staff,Senior individual contributor,10,2,10+,100,TRUE,25,29,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Other/Unknown,4,4,2-4,20,TRUE,14,26,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Other/Unknown,7,13,5-9,15,FALSE,7,20,FALSE,TRUE,FALSE,TRUE,FALSE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Research Group,Master's Degree,Moderately related
Other Academic public,TRUE,FALSE,Faculty,Faculty,20,6,10+,10,TRUE,20,27,TRUE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
Medical,FALSE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Other/Unknown,9,7,5-9,95,TRUE,9,18,TRUE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,1,1,<2,100,FALSE,20,23,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Not at all related
Medical,FALSE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,2,2,2-4,70,FALSE,3,6,FALSE,FALSE,FALSE,TRUE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Faculty,Faculty,2,1,2-4,90,TRUE,24,24,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,1,1,<2,100,FALSE,1,29,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Very related
NA,NA,NA,Staff,Lead/principal individual contributor,5,3,5-9,100,FALSE,22,29,TRUE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,7,3,5-9,100,TRUE,9,11,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
Government,FALSE,FALSE,NA,Individual contributor,5,5,5-9,100,FALSE,18,18,FALSE,TRUE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,8,8,5-9,100,FALSE,13,18,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
R2 public,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,60,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,4,2,2-4,100,TRUE,19,22,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Very related
R1 public,TRUE,TRUE,Staff,Manager,3,3,2-4,80,FALSE,3,28,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Manager,4,4,2-4,40,TRUE,24,24,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
Company,FALSE,FALSE,NA,"AVP, VP, CIO, or other senior leader",2,2,2-4,70,FALSE,35,44,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,National,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Director,12,4,10+,100,TRUE,20,30,FALSE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
Medical,FALSE,FALSE,Staff,Individual contributor,2,2,2-4,100,FALSE,4,9,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,"AVP, VP, CIO, or other senior leader",9,9,5-9,90,FALSE,35,35,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
Other Academic public,TRUE,NA,Staff,Director,17,4,10+,40,TRUE,17,30,FALSE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,5,1,5-9,100,TRUE,11,43,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R2 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,NA,<2,40,FALSE,9,9,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",PhD or Doctorate,Slightly related
R2 public,TRUE,FALSE,Faculty,Faculty,23,11,10+,5,TRUE,14,14,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,13,1,10+,100,TRUE,13,20,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Very related
R2 public,TRUE,FALSE,Staff,Individual contributor,20,12,10+,95,FALSE,12,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",No Bachelor's Degree,Moderately related
Company,FALSE,FALSE,NA,Senior individual contributor,6,6,5-9,100,FALSE,6,34,FALSE,FALSE,FALSE,TRUE,TRUE,NA,A combination of remotely and on-site,National,Master's Degree,Moderately related
R2 private,TRUE,FALSE,Staff,Lead/principal individual contributor,3,3,2-4,20,FALSE,3,25,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,13,2,10+,100,TRUE,18,35,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,0,0,<2,100,FALSE,7,17,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Director,7,2,5-9,95,TRUE,7,34,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,1,1,<2,90,FALSE,5,10,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Research Group,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,15,15,10+,NA,FALSE,15,25,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,4,2,2-4,100,TRUE,7,9,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,10,5,10+,100,TRUE,10,14,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,10,6,10+,90,TRUE,10,40,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,National,PhD or Doctorate,Very related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,0,2,<2,100,TRUE,5,5,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Not at all related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,30,12,10+,75,TRUE,35,35,TRUE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,3,2-4,100,FALSE,23,28,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Department,Bachelor's Degree,Not at all related
R2 public,TRUE,FALSE,Staff,Director,5,0,5-9,100,TRUE,5,7,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
Other Academic private,TRUE,FALSE,Staff,Manager,6,15,5-9,90,TRUE,31,46,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Faculty,Faculty,14,8,10+,75,TRUE,14,14,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,21,10,10+,100,FALSE,21,21,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Individual contributor,10,10,10+,100,FALSE,10,10,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,7,4,5-9,100,TRUE,7,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,2,2,2-4,10,TRUE,16,29,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 private,TRUE,TRUE,Staff,Individual contributor,3,3,2-4,80,FALSE,3,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,2,3,2-4,100,FALSE,2,11,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
Unknown,NA,NA,NA,"AVP, VP, CIO, or other senior leader",2,2,2-4,90,FALSE,9,40,FALSE,FALSE,TRUE,FALSE,TRUE,NA,Remotely,National,Master's Degree,Very related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,9,9,5-9,95,FALSE,9,19,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Center or Institute,Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,2,<2,85,FALSE,5,29,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
Other,FALSE,FALSE,NA,Director,0,0,<2,100,FALSE,19,27,TRUE,TRUE,TRUE,FALSE,TRUE,NA,On-site at my employer,National,PhD or Doctorate,Very related
R1 public,TRUE,NA,Staff,Director,22,11,10+,40,FALSE,20,20,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,15,15,10+,100,FALSE,35,35,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Not at all related
R2 public,TRUE,TRUE,Staff,Individual contributor,0,0,<2,100,FALSE,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,6,2,5-9,100,TRUE,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Master's Degree,Moderately related
Other,FALSE,FALSE,NA,Senior individual contributor,1,1,<2,100,FALSE,9,10,FALSE,TRUE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Lead/principal individual contributor,8,8,5-9,90,FALSE,8,11,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Faculty,Director,3,1,2-4,100,TRUE,1,11,FALSE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
Other,FALSE,FALSE,NA,Individual contributor,16,6,10+,95,TRUE,20,21,FALSE,TRUE,FALSE,FALSE,TRUE,NA,On-site at my employer,National,PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,NA,NA,NA,90,TRUE,21,25,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
Unknown,NA,FALSE,NA,Director,8,8,5-9,40,TRUE,33,33,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Remotely,Multiple Institutions,PhD or Doctorate,Extremely related
Other,FALSE,FALSE,NA,Senior individual contributor,10,10,10+,100,FALSE,17,10,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Research Group,Master's Degree,Very related
R1 public,TRUE,FALSE,Faculty,Faculty,22,5,10+,50,TRUE,15,22,TRUE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R2 public,TRUE,FALSE,Staff,Director,23,23,10+,15,FALSE,33,39,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,9,9,5-9,100,FALSE,9,26,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,17,2-4,100,FALSE,3,30,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,Director,3,3,2-4,100,FALSE,11,18,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 private,TRUE,FALSE,Staff,Individual contributor,8,8,5-9,90,FALSE,8,25,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,On-site at my employer,Center or Institute,No Bachelor's Degree,Very related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,10,7,10+,100,TRUE,14,14,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,TRUE,Staff,Director,1,1,<2,100,FALSE,13,13,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Master's Degree,Not at all related
R1 private,TRUE,TRUE,Staff,Manager,1,1,<2,100,FALSE,5,22,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",No Bachelor's Degree,Moderately related
Other,FALSE,FALSE,NA,Lead/principal individual contributor,15,20,10+,75,FALSE,40,45,TRUE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,5,5,5-9,90,TRUE,5,15,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
NA,NA,NA,Staff,Individual contributor,1,NA,<2,40,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Center or Institute,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,4,1,2-4,100,TRUE,4,10,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Department,PhD or Doctorate,Slightly related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,1,1,<2,70,TRUE,23,40,FALSE,FALSE,FALSE,TRUE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,20,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Individual contributor,3,3,2-4,100,FALSE,3,24,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 private,TRUE,TRUE,Staff,Individual contributor,7,7,5-9,100,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Extremely related
R1 public,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,7,15,5-9,80,FALSE,23,30,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Faculty,Faculty,2,2,2-4,50,FALSE,7,15,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,70,FALSE,25,25,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),Remotely,National,PhD or Doctorate,Moderately related
R2 private,TRUE,TRUE,Student position / internship,Student position / internship,0,0,<2,80,FALSE,0,3,FALSE,FALSE,FALSE,TRUE,FALSE,I don't know,On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Very related
NA,NA,NA,Staff,Senior individual contributor,8,10,5-9,90,TRUE,25,30,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,Multiple Institutions,PhD or Doctorate,Extremely related
R1 public,TRUE,TRUE,Staff,Individual contributor,3,3,2-4,80,FALSE,3,11,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
Medical,FALSE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,5,5,5-9,100,FALSE,21,21,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,Multiple Institutions,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,7,7,5-9,50,FALSE,7,47,FALSE,FALSE,FALSE,FALSE,FALSE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,5,5,5-9,100,FALSE,5,17,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,10,10,10+,100,TRUE,10,47,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Master's Degree,Very related
R2 public,TRUE,FALSE,Staff,Lead/principal individual contributor,3,3,2-4,85,FALSE,3,15,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
