satisfaction_position,rcd_satisfaction,rcd_opportunities,rcd_recommend,rcd_future,valued_peers,valued_manager,valued_researchers,valued_org,promoted,any_last_applied
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat agree,7,Somewhat agree,About half the time,Always,Always,About half the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,NA,Always,Most of the time,Most of the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,5,Strongly agree,Most of the time,Most of the time,About half the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Strongly agree,Sometimes,Most of the time,Most of the time,Sometimes,FALSE,7-12 months ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Strongly agree,7,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Always,TRUE,NA
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,6,Neither agree nor disagree,Always,About half the time,Most of the time,About half the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Strongly disagree,2,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Always,Always,Most of the time,FALSE,7-12 months ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,6,Strongly agree,Always,About half the time,Always,Sometimes,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,2,Somewhat disagree,Sometimes,Most of the time,Most of the time,Sometimes,FALSE,7-12 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,4,Neither agree nor disagree,Always,Most of the time,Sometimes,Sometimes,FALSE,NA
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,8,Somewhat disagree,Always,Always,Most of the time,Sometimes,FALSE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Always,Always,Always,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Never,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,7-12 months ago
Somewhat satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Sometimes,Most of the time,Sometimes,Most of the time,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,4,Somewhat agree,Most of the time,Most of the time,Sometimes,Sometimes,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Most of the time,About half the time,TRUE,NA
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,7,Neither agree nor disagree,Sometimes,About half the time,NA,Sometimes,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat disagree,6,Somewhat agree,Most of the time,Most of the time,Most of the time,About half the time,TRUE,7-12 months ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,6,Neither agree nor disagree,Always,Always,Sometimes,Sometimes,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,5,Somewhat agree,Most of the time,Always,About half the time,Most of the time,TRUE,Within the last month
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Always,Always,Always,FALSE,More than two years ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat agree,8,Somewhat agree,About half the time,About half the time,Always,About half the time,FALSE,1-2 years ago
Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,8,Strongly agree,Most of the time,Most of the time,Never,NA,FALSE,Within the last month
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat agree,5,Neither agree nor disagree,Sometimes,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,8,Somewhat agree,Most of the time,Sometimes,Always,Sometimes,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat disagree,Always,Sometimes,Always,Always,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,9,Strongly agree,Most of the time,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,NA,FALSE,NA
Extremely satisfied,Somewhat satisfied,Somewhat agree,10,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,7,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Strongly agree,Sometimes,Sometimes,Most of the time,Sometimes,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Sometimes,About half the time,Sometimes,Sometimes,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Always,About half the time,Most of the time,FALSE,7-12 months ago
Extremely satisfied,Somewhat satisfied,Strongly agree,8,Strongly agree,NA,Always,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Most of the time,Always,Always,Most of the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Always,Always,Always,Most of the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,Always,Always,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Sometimes,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,8,NA,Always,Always,Always,Always,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,4,Somewhat disagree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,8,Somewhat agree,Always,Always,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Most of the time,Always,About half the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Always,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,5,Somewhat agree,Sometimes,Sometimes,Sometimes,Sometimes,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Strongly agree,8,Somewhat agree,Always,Most of the time,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Neither agree nor disagree,Sometimes,About half the time,About half the time,Never,FALSE,Within the last month
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat agree,Most of the time,Always,Most of the time,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,NA,NA,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,10,Somewhat agree,Always,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,About half the time,Sometimes,FALSE,More than two years ago
Extremely dissatisfied,Extremely satisfied,Strongly disagree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Never,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Always,Most of the time,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,NA,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Neither agree nor disagree,Always,Most of the time,About half the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,Most of the time,Always,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly disagree,9,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,NA,Always,Always,Always,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat agree,3,Somewhat agree,Most of the time,Always,Always,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Always,Always,Always,Always,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Most of the time,Always,Most of the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,1-2 years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Most of the time,Most of the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,8,Somewhat agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,Most of the time,Always,TRUE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,About half the time,TRUE,More than two years ago
NA,Neither satisfied nor dissatisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Strongly agree,Always,Most of the time,Most of the time,Never,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Sometimes,Always,About half the time,NA,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Neither agree nor disagree,NA,Always,About half the time,Most of the time,FALSE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Sometimes,About half the time,NA,About half the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,9,Strongly agree,About half the time,About half the time,Most of the time,Most of the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,6,Somewhat agree,Always,Always,Most of the time,Always,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,3,Somewhat agree,About half the time,Most of the time,Always,About half the time,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat agree,10,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,About half the time,Sometimes,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Strongly agree,Always,About half the time,Most of the time,Sometimes,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,9,Strongly agree,Always,Always,Most of the time,About half the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,7-12 months ago
Extremely satisfied,Somewhat satisfied,Neither agree nor disagree,6,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,1-2 years ago
Extremely dissatisfied,Extremely dissatisfied,Somewhat disagree,2,Neither agree nor disagree,Sometimes,Sometimes,About half the time,Never,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat disagree,3,Somewhat disagree,Never,Always,Sometimes,Sometimes,FALSE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,1-6 months ago
Somewhat satisfied,Extremely satisfied,Strongly agree,5,Strongly agree,Always,Most of the time,Most of the time,Sometimes,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Neither agree nor disagree,Sometimes,NA,Always,Always,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Neither agree nor disagree,NA,Sometimes,Sometimes,Never,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Most of the time,Always,About half the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Somewhat agree,NA,Always,Sometimes,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,Sometimes,Most of the time,About half the time,About half the time,FALSE,NA
NA,Neither satisfied nor dissatisfied,NA,5,NA,NA,NA,NA,NA,TRUE,More than two years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,5,Neither agree nor disagree,Sometimes,Most of the time,Sometimes,Sometimes,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Sometimes,Sometimes,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,About half the time,About half the time,FALSE,7-12 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Strongly agree,Most of the time,About half the time,Sometimes,About half the time,NA,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Sometimes,Sometimes,Sometimes,Sometimes,TRUE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,6,Neither agree nor disagree,Sometimes,Most of the time,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,NA,Always,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,6,Somewhat agree,About half the time,Sometimes,About half the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Always,About half the time,Most of the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat disagree,5,Somewhat disagree,NA,Always,Most of the time,Never,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat agree,5,Somewhat agree,Sometimes,Most of the time,Most of the time,NA,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,9,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,About half the time,Always,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Always,Most of the time,About half the time,Most of the time,FALSE,1-6 months ago
